YEAR,QUARTER,HOUSING TYPE,MEDIAN HOUSING PRICE,MEDIAN AFTER TAX FAMILY INCOME,PRIME INTEREST RATE,QUARTERLY PAYMENT,PAYMENT TO INCOME PERCENT,HISTORICAL AVERAGE PAYMENT TO INCOME PERCENT,NUMBER OF RESALES
1979,1,Single-detached,56000.0,21211.09838,11.96153846,1638.624101,30.9012588,42.17672164,2598
1979,1,Apartment,45335.0,21211.09838,11.96153846,1326.553993,25.01622442,28.92883586,102
1979,1,Row housing,51000.0,21211.09838,11.96153846,1492.318378,28.14221784,34.7021035,97
1979,1,All housing types,55000.0,21211.09838,11.96153846,1609.362957,30.34945061,36.21109906,2797
1979,2,Single-detached,56900.0,21896.35576,12.0,1669.754495,30.50287478,42.17672164,4636
1979,2,Apartment,45000.0,21896.35576,12.0,1320.543976,24.12353893,28.92883586,152
1979,2,Row housing,48900.0,21896.35576,12.0,1434.991121,26.21424564,34.7021035,154
1979,2,All housing types,56000.0,21896.35576,12.0,1643.343615,30.020404,36.21109906,4942
1979,3,Single-detached,59500.0,22581.61314,12.5,1811.526266,32.08851831,42.17672164,5651
1979,3,Apartment,46250.0,22581.61314,12.5,1408.119157,24.94275583,28.92883586,225
1979,3,Row housing,58150.0,22581.61314,12.5,1770.42441,31.36045949,34.7021035,188
1979,3,All housing types,59000.0,22581.61314,12.5,1796.303357,31.81886689,36.21109906,6064
1979,4,Single-detached,59225.0,23266.87052,14.53846154,2073.555697,35.64820969,42.17672164,4278
1979,4,Apartment,44250.0,23266.87052,14.53846154,1549.258583,26.6345847,28.92883586,236
1979,4,Row housing,58261.0,23266.87052,14.53846154,2039.804617,35.06796698,34.7021035,226
1979,4,All housing types,58261.0,23266.87052,14.53846154,2039.804617,35.06796698,36.21109906,4740
1980,1,Single-detached,69900.0,23952.12789,15.11538462,2538.96353,42.40063416,42.17672164,2582
1980,1,Apartment,57500.0,23952.12789,15.11538462,2088.560844,34.87891937,28.92883586,154
1980,1,Row housing,58150.0,23952.12789,15.11538462,2112.170662,35.27320281,34.7021035,169
1980,1,All housing types,68500.0,23952.12789,15.11538462,2488.111614,41.5514083,36.21109906,2905
1980,2,Single-detached,74000.0,24548.79589,15.44230769,2743.103101,44.69633645,42.17672164,3672
1980,2,Apartment,51000.0,24548.79589,15.44230769,1890.517002,30.80423188,28.92883586,235
1980,2,Row housing,57500.0,24548.79589,15.44230769,2131.465248,34.73026143,34.7021035,198
1980,2,All housing types,72000.0,24548.79589,15.44230769,2668.96518,43.48832735,36.21109906,4105
1980,3,Single-detached,80000.0,25145.46389,12.5,2435.665568,38.74520794,42.17672164,5190
1980,3,Apartment,57000.0,25145.46389,12.5,1735.411717,27.60596066,28.92883586,411
1980,3,Row housing,70000.0,25145.46389,12.5,2131.207372,33.90205695,34.7021035,310
1980,3,All housing types,78000.0,25145.46389,12.5,2374.773929,37.77657774,36.21109906,5911
1980,4,Single-detached,89000.0,25742.13189,14.39285714,3086.673349,47.96297932,42.17672164,4709
1980,4,Apartment,69500.0,25742.13189,14.39285714,2410.37975,37.45423666,28.92883586,356
1980,4,Row housing,78500.0,25742.13189,14.39285714,2722.515257,42.30442558,34.7021035,351
1980,4,All housing types,87000.0,25742.13189,14.39285714,3017.309903,46.88515956,36.21109906,5416
1981,1,Single-detached,105000.0,26338.79989,18.20833333,4562.544712,69.29009266,42.17672164,3196
1981,1,Apartment,82832.0,26338.79989,18.20833333,3599.282892,54.66130434,28.92883586,252
1981,1,Row housing,94950.0,26338.79989,18.20833333,4125.844004,62.65804094,34.7021035,269
1981,1,All housing types,100000.0,26338.79989,18.20833333,4345.280679,65.99056444,36.21109906,3717
1981,2,Single-detached,103500.0,26478.66767,18.94230769,4674.386816,70.61362566,42.17672164,3135
1981,2,Apartment,88350.0,26478.66767,18.94230769,3990.164978,60.27742828,28.92883586,214
1981,2,Row housing,95000.0,26478.66767,18.94230769,4290.499976,64.81443901,34.7021035,204
1981,2,All housing types,100000.0,26478.66767,18.94230769,4516.315765,68.22572528,36.21109906,3553
1981,3,Single-detached,108500.0,26618.53544,21.44642857,5536.981336,83.2048983,42.17672164,1986
1981,3,Apartment,94050.0,26618.53544,21.44642857,4799.567692,72.12369295,28.92883586,135
1981,3,Row housing,100000.0,26618.53544,21.44642857,5103.208604,76.68654221,34.7021035,173
1981,3,All housing types,105500.0,26618.53544,21.44642857,5383.885077,80.90430203,36.21109906,2294
1981,4,Single-detached,105000.0,26758.40322,18.67307692,4676.190933,69.90239134,42.17672164,1612
1981,4,Apartment,76500.0,26758.40322,18.67307692,3406.939108,50.92888512,28.92883586,131
1981,4,Row housing,100500.0,26758.40322,18.67307692,4475.78275,66.90657457,34.7021035,147
1981,4,All housing types,101250.0,26758.40322,18.67307692,4509.184114,67.40587736,36.21109906,1890
1982,1,Single-detached,104000.0,26898.27099,16.53846154,4116.853069,61.22108102,42.17672164,1785
1982,1,Apartment,82700.0,26898.27099,16.53846154,3273.689893,48.6825327,28.92883586,180
1982,1,Row housing,79950.0,26898.27099,16.53846154,3164.830797,47.06370604,34.7021035,103
1982,1,All housing types,100000.0,26898.27099,16.53846154,3958.512567,58.86642406,36.21109906,2068
1982,2,Single-detached,93000.0,27161.2345,17.26923077,3838.406385,56.52771615,42.17672164,2163
1982,2,Apartment,75000.0,27161.2345,17.26923077,3095.48902,45.58686786,28.92883586,128
1982,2,Row housing,86500.0,27161.2345,17.26923077,3570.13067,52.57685426,34.7021035,127
1982,2,All housing types,91825.0,27161.2345,17.26923077,3789.91039,55.81352188,36.21109906,2418
1982,3,Single-detached,87000.0,27424.19801,16.63461538,3463.190945,50.51292212,42.17672164,2411
1982,3,Apartment,70000.0,27424.19801,16.63461538,2786.475473,40.64258102,28.92883586,136
1982,3,Row housing,82000.0,27424.19801,16.63461538,3264.156983,47.60988062,34.7021035,156
1982,3,All housing types,85000.0,27424.19801,16.63461538,3383.57736,49.35170552,36.21109906,2703
1982,4,Single-detached,86000.0,27687.16152,13.42307692,2794.898705,40.37826273,42.17672164,3712
1982,4,Apartment,76500.0,27687.16152,13.42307692,2486.159894,35.91787324,28.92883586,315
1982,4,Row housing,83500.0,27687.16152,13.42307692,2713.651649,39.20447602,34.7021035,284
1982,4,All housing types,85500.0,27687.16152,13.42307692,2778.649294,40.14350539,36.21109906,4311
1983,1,Single-detached,86500.0,27950.12502,11.76923077,2494.710515,35.70231637,42.17672164,3183
1983,1,Apartment,72750.0,27950.12502,11.76923077,2098.152486,30.02709267,28.92883586,238
1983,1,Row housing,82000.0,27950.12502,11.76923077,2364.927887,33.84497043,34.7021035,226
1983,1,All housing types,85500.0,27950.12502,11.76923077,2465.869931,35.28957283,36.21109906,3647
1983,2,Single-detached,90000.0,27856.33528,11.07692308,2460.470401,35.33085564,42.17672164,4080
1983,2,Apartment,75000.0,27856.33528,11.07692308,2050.392001,29.4423797,28.92883586,255
