YEAR,GDMPBC
1981,"40,546"
1982,"37,291"
1983,"37,164"
1984,"36,997"
1985,"39,233"
1986,"39,222"
1987,"41,008"
1988,"42,355"
1989,"42,574"
1990,"41,964"
1991,"41,080"
1992,"41,064"
1993,"41,799"
1994,"41,634"
1995,"41,581"
1996,"41,573"
1997,"42,154"
1998,"42,296"
1999,"43,459"
2000,"45,123"
2001,"45,012"
2002,"46,535"
2003,"47,334"
2004,"48,826"
2005,"50,760"
2006,"52,431"
2007,"53,455"
2008,"53,112"
2009,"51,127"
2010,"51,937"
2011,"53,065"
2012,"53,515"
2013,"53,952"
2014,"55,011"
2015,"55,508"
2016,"55,936"
2017,"57,209"
2018,"58,192"
2019,"58,669"
2020,"56,138"
2021,"59,878"
2022,"60,731"
2023,"60,218"
