YEAR,GDMPBC,"Total, all education levels",0 to 8  years 8,Some high school 9,High school graduate 10,Some postsecondary 11,Postsecondary certificate or diploma 12,University degree 13,Bachelor's degree,Above bachelor's degree,All Items Index,Annual Percent Change,QUARTER,HOUSING TYPE,MEDIAN HOUSING PRICE,MEDIAN AFTER TAX FAMILY INCOME,PRIME INTEREST RATE,QUARTERLY PAYMENT,PAYMENT TO INCOME PERCENT,HISTORICAL AVERAGE PAYMENT TO INCOME PERCENT,NUMBER OF RESALES
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,1.0,0.0,158900.0,37138.51009,13.84615385,5314.906769,57.24415714,42.17672164,7140.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,1.0,1.0,117500.0,37138.51009,13.84615385,3930.154471,42.32969455,28.92883586,1022.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,1.0,2.0,139900.0,37138.51009,13.84615385,4679.39243,50.39935547,34.7021035,1455.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,1.0,3.0,147500.0,37138.51009,13.84615385,4933.598166,53.13727614,36.21109906,9617.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,2.0,0.0,135000.0,37362.30481,14.63461538,4755.987171,50.91749233,42.17672164,6309.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,2.0,1.0,120000.0,37362.30481,14.63461538,4227.544152,45.25999318,28.92883586,738.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,2.0,2.0,143900.0,37362.30481,14.63461538,5069.530029,54.27427516,34.7021035,1101.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,2.0,3.0,133000.0,37362.30481,14.63461538,4685.528102,50.16315911,36.21109906,8148.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,3.0,0.0,137500.0,37586.09952,14.48076923,4796.105952,51.04127338,42.17672164,6087.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,3.0,1.0,135000.0,37586.09952,14.48076923,4708.904025,50.11325022,28.92883586,694.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,3.0,2.0,145000.0,37586.09952,14.48076923,5057.711731,53.82534283,34.7021035,889.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,3.0,3.0,137900.0,37586.09952,14.48076923,4810.05826,51.18975708,36.21109906,7670.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,4.0,0.0,147000.0,37809.89423,13.51923077,4808.978621,50.87534592,42.17672164,6463.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,4.0,1.0,125000.0,37809.89423,13.51923077,4089.267535,43.26134857,28.92883586,870.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,4.0,2.0,144900.0,37809.89423,13.51923077,4740.278926,50.14855527,34.7021035,1407.0
1990.0,41964.0,7.4,10.5,12.9,6.7,8.8,6.2,4.3,4.6,3.9,78.4,5.4,4.0,3.0,143000.0,37809.89423,13.51923077,4678.12206,49.49098277,36.21109906,8740.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,1.0,0.0,150000.0,38033.68894,11.82692308,4344.990971,45.69623501,42.17672164,4765.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,1.0,1.0,124150.0,38033.68894,11.82692308,3596.204194,37.82125051,28.92883586,619.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,1.0,2.0,132900.0,38033.68894,11.82692308,3849.662,40.48686422,34.7021035,834.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,1.0,3.0,145000.0,38033.68894,11.82692308,4200.157939,44.17302718,36.21109906,6218.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,2.0,0.0,162000.0,38261.79212,10.17307692,4116.225669,43.03223076,42.17672164,10926.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,2.0,1.0,119000.0,38261.79212,10.17307692,3023.647251,31.61009543,28.92883586,1386.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,2.0,2.0,144000.0,38261.79212,10.17307692,3658.867261,38.25087178,34.7021035,2103.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,2.0,3.0,153000.0,38261.79212,10.17307692,3887.546465,40.64155127,36.21109906,14415.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,3.0,0.0,160773.5,38489.89529,9.711538462,3929.07991,40.83232631,42.17672164,9507.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,3.0,1.0,126000.0,38489.89529,9.711538462,3079.264112,32.00075332,28.92883586,1242.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,3.0,2.0,142414.0,38489.89529,9.711538462,3480.399359,36.16948638,34.7021035,1657.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,3.0,3.0,152500.0,38489.89529,9.711538462,3726.887119,38.73107049,36.21109906,12406.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,4.0,0.0,165000.0,38717.99847,8.692307692,3685.640084,38.07676254,42.17672164,7182.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,4.0,1.0,117900.0,38717.99847,8.692307692,2633.557369,27.2075776,28.92883586,1075.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,4.0,2.0,140900.0,38717.99847,8.692307692,3147.31326,32.51524753,34.7021035,1541.0
1991.0,41080.0,8.8,12.2,14.5,8.6,8.6,7.8,5.5,5.8,4.7,82.6,5.4,4.0,3.0,153800.0,38717.99847,8.692307692,3435.463303,35.49215805,36.21109906,9798.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,1.0,0.0,175000.0,38946.10164,7.826923077,3605.480375,37.03046234,42.17672164,7117.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,1.0,1.0,121900.0,38946.10164,7.826923077,2511.474615,25.79436205,28.92883586,1205.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,1.0,2.0,153271.0,38946.10164,7.826923077,3157.803329,32.43254853,34.7021035,1755.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,1.0,3.0,160000.0,38946.10164,7.826923077,3296.4392,33.85642271,36.21109906,10077.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,2.0,0.0,182750.0,38961.4346,7.653846154,3702.855289,38.01559493,42.17672164,11056.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,2.0,1.0,127000.0,38961.4346,7.653846154,2573.25648,26.41849825,28.92883586,1816.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,2.0,2.0,157000.0,38961.4346,7.653846154,3181.112341,32.65908839,34.7021035,2132.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,2.0,3.0,168000.0,38961.4346,7.653846154,3403.992824,34.94730477,36.21109906,15004.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,3.0,0.0,183000.0,38976.76757,6.607142857,3339.192266,34.26853969,42.17672164,9897.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,3.0,1.0,132500.0,38976.76757,6.607142857,2417.721176,24.81192081,28.92883586,1565.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,3.0,2.0,157000.0,38976.76757,6.607142857,2864.771507,29.39978542,34.7021035,1984.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,3.0,3.0,169900.0,38976.76757,6.607142857,3100.157191,31.81543658,36.21109906,13446.0
1992.0,41064.0,9.0,12.7,16.6,7.6,9.5,8.5,4.6,5.0,3.9,84.8,2.7,4.0,0.0,191000.0,38992.10053,8.173076923,4066.515589,41.71630186,42.17672164,9637.0
